P	0	0
P220s	24.08000000000004	-0.03599999999999959
P310s	33.58000000000004	-0.05399999999999938
P410s	43.07000000000005	-0.07299999999999951
P550s	57.760000000000105	-0.11199999999999921
P660s	68.94000000000005	-0.14499999999999957
P971s	93.7700000000001	-0.25599999999999934
P1000s	96.1400000000001	-0.2679999999999998
P1071s	101.88000000000011	-0.2999999999999998
P1171s	110.18000000000006	-0.34499999999999975
P1271s	118.55000000000007	-0.3949999999999996
P1371s	126.97000000000003	-0.4499999999999993
P1471s	135.46000000000004	-0.5069999999999997
