P	0	0
P220s	24.909999999999968	-0.05200000000000049
P310s	34.82999999999993	-0.07900000000000063
P410s	44.76999999999998	-0.10400000000000009
P550s	60.389999999999986	-0.15800000000000036
P660s	72.44999999999993	-0.21499999999999986
P971s	100.27999999999997	-0.41800000000000015
P1000s	102.99000000000001	-0.4410000000000007
P1071s	109.55999999999995	-0.5010000000000003
P1171s	119.14999999999998	-0.5880000000000001
P1271s	128.90999999999997	-0.6859999999999999
P1371s	138.82999999999993	-0.7920000000000007
P1471s	148.94999999999993	-0.907
