0.000000	0.000000	0.000000
15.000000	7.010076	0.006093
24.400000	10.603012	0.010749
40.000000	15.604839	0.020116
60.000000	22.023479	0.032010
80.000000	28.449043	0.043711
115.000000	39.710054	0.065381
150.000000	50.991217	0.086720
185.000000	62.292177	0.108659
220.000000	73.612287	0.130215
265.000000	87.134664	0.161061
310.000000	100.490684	0.189937
355.000000	113.678858	0.226380
400.000000	126.696570	0.263811
450.000000	140.237393	0.309291
500.000000	153.220355	0.358559
550.000000	165.657374	0.405559
600.000000	177.555278	0.466788
635.000000	185.638925	0.513295
670.000000	193.609993	0.560317
721.000000	203.894219	0.638388
771.000000	213.479106	0.737069
