0.000000	0.000000	0.000000
15.000000	4.829661	0.007983
24.400000	7.337451	0.014023
40.000000	10.663217	0.026468
60.000000	14.927503	0.042007
80.000000	19.192364	0.058496
115.000000	26.656908	0.086914
150.000000	34.122858	0.115841
185.000000	41.590003	0.144738
220.000000	49.058329	0.172725
265.000000	57.680354	0.215158
310.000000	66.116798	0.263594
355.000000	74.363895	0.313818
400.000000	82.417598	0.366151
450.000000	90.653188	0.425960
500.000000	98.390381	0.502453
550.000000	105.612149	0.585346
600.000000	112.301201	0.673305
635.000000	116.710359	0.750946
670.000000	120.953679	0.831703
721.000000	125.942688	0.988452
771.000000	130.110190	1.201772
